id,box
7388c3da3f6cf273,0.10 0.06 0.68 0.55
ae63cac406dc633a,0.01 0.21 0.56 0.99
33dff73c52d9086d,0.00 0.00 0.81 1.00
2e61b1ad6272d066,0.01 0.00 0.97 0.57
f21c39d65cb9d0c1,0.25 0.06 0.75 0.88
514ae0968cfa7d6c,0.00 0.00 1.00 1.00
77fe54614175ed9c,0.15 0.00 1.00 1.00
610f2b91546a3b8b,0.07 0.00 0.84 0.85
2aefc26e44a0b020,0.05 0.00 1.00 1.00
7517ba8b4e7d0d34,0.05 0.17 0.76 1.00
63c92c3f2fee84c5,0.06 0.00 1.00 1.00
7c35a878348e8d22,0.01 0.20 0.95 1.00
7c97104602c60f6b,0.13 0.00 0.35 1.00
2e20642cc78e17a1,0.47 0.01 0.83 0.79
789a67c522d796e2,0.18 0.10 0.85 0.81
2dd49bfe46ade0c4,0.02 0.00 1.00 1.00
b0c912ce8355a845,0.00 0.00 0.58 1.00
606346ae4733b258,0.02 0.00 0.84 1.00
2e2c3d81fb7c4f2f,0.23 0.43 0.84 0.97
9c81cd7eade995f9,0.02 0.01 0.92 1.00
ff6a49aa73b14bf9,0.00 0.29 1.00 1.00
2d44a37c0aa4e547,0.21 0.37 0.58 0.73
619b8bcf22c9a2b8,0.22 0.00 1.00 1.00
2a21d663bbfa67b5,0.17 0.00 0.71 0.98
3044ef7e4b7503c5,0.18 0.41 0.68 0.78
2e2a085babe296cd,0.20 0.00 1.00 1.00
2a56ed0e3c9edc42,0.05 0.41 0.90 1.00
9cc2caf70c0b6335,0.28 0.18 0.76 0.84
2af396f9f4d4cafd,0.44 0.13 0.83 1.00
6297fbc3993b13d3,0.03 0.19 0.80 0.80
31beffb2c4e288d4,0.00 0.00 0.76 0.73
7c3e89abc3120c46,0.28 0.00 0.60 1.00
6473fac41934e839,0.03 0.06 0.61 1.00
78cead2999c6d3f8,0.27 0.00 0.92 1.00
31a427c6a3d813fd,0.00 0.05 0.84 1.00
61cc12eb3839fb80,0.11 0.12 0.36 0.62
61f126670f1f0c8f,0.11 0.00 0.87 1.00
737692125ee99860,0.58 0.00 1.00 1.00
2c42b319c85c812a,0.00 0.00 1.00 1.00
7562a4b08b6ccea5,0.16 0.19 0.90 1.00
3320fb28d2071353,0.00 0.00 1.00 0.80
2c041fab14e77feb,0.00 0.06 1.00 1.00
b00c7ba1f883a9eb,0.35 0.17 0.61 1.00
dfda6831036f6000,0.06 0.00 0.86 1.00
73cbd726ece625cc,0.00 0.69 0.65 1.00
ad7c4d4ecf258c82,0.00 0.00 0.98 1.00
79cc6bd3c76d1e39,0.17 0.01 0.88 0.99
769d4749b5f0b126,0.00 0.14 1.00 1.00
2b9bbe96e51ba2f6,0.00 0.00 0.43 1.00
63e393b9cb5b0122,0.10 0.00 1.00 0.91
4dc6cd7e26d9336f,0.00 0.00 1.00 1.00
2e7387d0b1729b4f,0.50 0.00 0.80 1.00
60b73e94f0c91ffa,0.19 0.00 0.98 1.00
de4de9b7a1f1b708,0.08 0.00 0.65 1.00
31d522ce78c68438,0.19 0.00 0.64 0.56
2b75abfce23ed1fe,0.00 0.00 1.00 1.00
b1f1980715eeacbd,0.21 0.36 0.70 1.00
9fcd8897ef2b9e35,0.07 0.28 0.90 0.71
4d0a960843bbd02b,0.37 0.00 0.95 0.49
77103170d185bef3,0.11 0.00 0.55 1.00
6537d525bf3b1e65,0.13 0.14 1.00 1.00
b36e231dbe0438ce,0.02 0.00 1.00 1.00
2d9c00b262925fb8,0.06 0.00 1.00 1.00
eaff5be5cf7f6f83,0.05 0.00 0.63 1.00
61f2008a96efa7ef,0.00 0.01 0.39 0.31
77f2e3f89aeac8a3,0.24 0.00 0.95 1.00
8c24d5fbbaf2aea6,0.02 0.43 1.00 0.64
b136b276a175a410,0.00 0.00 1.00 1.00
78652c4c230e1280,0.45 0.62 0.56 0.70
613c85fcc19fd3d9,0.00 0.00 1.00 1.00
7b3fedd19fe4e89a,0.02 0.35 0.74 1.00
303ecbda3c522cc2,0.37 0.04 0.68 1.00
3257384a9a15bd41,0.10 0.10 0.64 1.00
b17d5b1313855ffa,0.19 0.00 1.00 1.00
613984e86fc883a5,0.16 0.12 0.68 0.29
e16add1abfd223e6,0.00 0.00 0.62 1.00
2abbf8cdafffa3f4,0.13 0.00 0.90 1.00
2d89fbb2b2345d8c,0.16 0.08 0.84 0.94
2bab7b28f11f8b22,0.28 0.00 0.79 0.83
d117fa5b0d0d2de6,0.00 0.00 0.73 1.00
2bdd98dc0bd5b667,0.00 0.01 1.00 1.00
60cb2e26d4ce6a61,0.21 0.27 0.83 0.74
9f352fe2a6df57d4,0.00 0.00 0.97 1.00
76d29e03d1f9d7de,0.00 0.00 1.00 1.00
2cb4bfe744448c14,0.13 0.00 0.56 1.00
2b2e614077f6db14,0.14 0.30 0.49 1.00
b73045f93b7815da,0.00 0.16 0.94 1.00
9eaa8498998c3f07,0.34 0.00 0.60 0.79
621d0912fc7193c9,0.22 0.22 0.44 0.51
61b274088d4e15fb,0.15 0.00 0.91 1.00
2a267c54b6e448b1,0.30 0.00 0.55 1.00
2bac384de744c104,0.07 0.42 0.50 0.69
2b840105c8c136e2,0.26 0.00 0.55 0.67
78283fc95dcae394,0.12 0.15 1.00 1.00
b155546d8eecec92,0.00 0.07 0.97 1.00
cba7481ce4148d4b,0.00 0.09 0.85 0.58
2c40af28520a4c56,0.21 0.00 0.55 1.00
2ed054cf6c4c90ad,0.00 0.00 0.58 1.00
79e2454a9ade9436,0.07 0.23 0.81 0.92
2c5d5253206f21ee,0.12 0.15 0.97 1.00
7b80f2bb1614bd3f,0.32 0.00 1.00 1.00
df1e9cb70909e50c,0.29 0.00 0.50 0.29
9efa5a260c227946,0.21 0.16 1.00 0.79
2aaf0a322a48e96b,0.12 0.00 0.81 1.00
79cb3692715ea4c2,0.05 0.06 0.81 0.95
b5f3fbaca36cae52,0.51 0.27 0.83 0.79
2aa3fc2307d7752b,0.00 0.00 0.59 1.00
4d70c1c62a49bcb9,0.02 0.00 1.00 0.68
2a55a3c84539ee6b,0.21 0.00 0.85 1.00
b3e914181c3bea8e,0.02 0.29 1.00 1.00
b42892d4be360223,0.00 0.00 1.00 0.96
5059207897806752,0.31 0.00 0.66 1.00
7a707d7fe99227be,0.16 0.16 0.59 0.68
ab519f8136e72433,0.24 0.03 0.93 0.97
2e19afdab47d3dd6,0.00 0.00 0.89 0.85
2cadf60fa2b07802,0.00 0.00 1.00 0.99
9e4d89af4a3f9fa8,0.00 0.05 1.00 1.00
632b21d1009b07c1,0.04 0.60 0.76 0.93
78b370cda1ca6922,0.00 0.24 1.00 0.97
7881c9b5edcebc84,0.24 0.00 1.00 1.00
2b23639501db674b,0.27 0.30 0.55 0.59
2c3d5243208ef547,0.00 0.00 1.00 1.00
aaad1aaa65e01d61,0.24 0.00 1.00 1.00
2affb0a0a6706f23,0.12 0.35 0.31 0.44
632b984ffe2aa430,0.24 0.14 0.71 0.78
50943f6ac7e802a1,0.12 0.47 0.52 0.60
ec0b0e08ff0758a0,0.07 0.20 0.74 0.68
ebaff168ecae5cee,0.08 0.00 1.00 0.70
65981a159bce2ca0,0.29 0.40 1.00 1.00
4e1c26bba6afc30d,0.00 0.00 0.60 0.66
77b8da92413d2c65,0.20 0.00 0.70 1.00
b144169504f8096b,0.03 0.01 0.94 1.00
31c89e77365fd41b,0.00 0.00 0.82 1.00
df78085322d593eb,0.09 0.04 0.99 0.98
317108c79315743c,0.00 0.00 0.97 1.00
9fb4c90f751f1700,0.00 0.18 1.00 0.75
2bf9a0e39499f7b0,0.00 0.00 1.00 0.93
eb9273456d288578,0.40 0.00 1.00 1.00
609f45d66711bf14,0.17 0.49 0.55 0.72
343a071ca528889c,0.17 0.00 0.78 1.00
753def4c8eb4e1b8,0.09 0.06 0.69 1.00
6f032a32b9da3325,0.00 0.01 1.00 1.00
2b0d500832722507,0.15 0.47 0.92 0.99
dfc5953defcfa943,0.20 0.32 0.95 1.00
2c7ce217b1dc2eaf,0.41 0.00 0.70 0.84
63ae520189fd54ee,0.13 0.08 0.66 0.30
9771e465cea48d22,0.00 0.00 0.83 0.73
7b373ac358eb6150,0.23 0.12 0.66 0.74
60e2fb951366ff05,0.16 0.00 0.34 1.00
b483eb38160b347e,0.05 0.00 0.77 0.99
74d630b00fe1f09c,0.00 0.00 1.00 1.00
2cc95f0bf0b6edc4,0.25 0.00 1.00 1.00
6100b16269ebc497,0.07 0.00 0.69 1.00
601c880a9b422305,0.00 0.12 0.67 0.65
7cb9391c0861a2f0,0.23 0.48 0.63 0.67
2ae8296c2bcd728e,0.00 0.08 0.86 1.00
2de421d512ded25b,0.26 0.00 0.45 1.00
b12a1697587295ba,0.03 0.28 0.47 0.80
2aa6a45c51df3d83,0.00 0.22 0.93 0.82
2d8f7e40cf3772c1,0.07 0.32 0.62 0.90
6052b8a037eff3ea,0.00 0.18 0.58 0.72
2c1c5b77f4ac1c21,0.11 0.00 1.00 1.00
77a827c9bdce102a,0.44 0.51 0.73 0.73
